Year,County,Total Sites Visited,Total Ticks Collected,Tick Population Density,Total Ticks Tested,Pools Tested,Pools Positive,Minimum Infection Rate,County Location
2018,Franklin,1,64,19.7,14,4,0,0,"(44.5943743, -74.3106698)"
2018,Fulton,1,70,89.9,20,5,0,0,"(43.1156093, -74.4236782)"
2018,Greene,4,127,27.3,8,2,0,0,"(42.2869511, -74.1494949)"
2018,Jefferson,1,90,29,0,,,,"(43.9953714, -76.0535218)"
2018,Livingston,2,131,65.5,32,8,0,0,"(42.7274845, -77.7697795)"
2018,Monroe,2,102,32.9,2,1,0,0,"(43.174966, -77.639663)"
2018,Montgomery,3,212,71.7,105,23,0,0,"(42.9008912, -74.4353575)"
2018,Niagara,1,52,52,2,1,0,0,"(43.203001, -78.71083)"
2018,Onondaga,1,163,94,0,,,,"(43.0065299, -76.1961167)"
2018,Ontario,2,51,12.8,1,1,0,0,"(42.8566949, -77.3032768)"
2018,Orange,1,118,54.1,50,11,0,0,"(41.4024096, -74.3062522)"
2018,Oswego,1,106,25.5,0,,,,"(43.4614428, -76.209258)"
2018,Otsego,4,227,40.4,146,29,0,0,"(42.6297762, -75.028841)"
2018,Rensselaer,2,59,17.3,3,1,0,0,"(42.7104206, -73.5138454)"
2018,Rockland,1,111,40.7,52,11,3,5.8,"(41.1547851, -74.0247721)"
2018,Saratoga,13,641,40.3,538,117,4,0.7,"(43.1061353, -73.8553872)"
2018,Schenectady,4,100,12.9,0,,,,"(42.8175421, -74.0435834)"
2018,Schoharie,3,99,26.3,20,5,0,0,"(42.591294, -74.4381718)"
2018,Schuyler,2,77,29,7,2,0,0,"(42.419776, -76.9386038)"
2018,Seneca,1,58,38.7,8,2,0,0,"(42.7822943, -76.827088)"
2018,Steuben,4,195,31.1,79,18,0,0,"(42.2667252, -77.3855253)"
2018,St Lawrence,2,167,28.7,67,15,2,3,"(44.4881125, -75.074311)"
2018,Suffolk,10,1470,52,447,97,3,0.7,"(40.943554, -72.6922184)"
2018,Sullivan,1,138,91.2,50,10,0,0,"(41.7201763, -74.7646796)"
2018,Tioga,1,54,12.5,0,,,,"(42.1780568, -76.2974503)"
2018,Tompkins,1,88,29.3,0,,,,"(42.4532811, -76.4737116)"
2018,Ulster,1,107,17.9,50,10,0,0,"(41.9472321, -74.265447)"
2018,Warren,5,74,6.1,0,,,,"(43.5551053, -73.8381388)"
2018,Washington,4,83,17.4,10,3,0,0,"(43.3123766, -73.4394282)"
2018,Westchester,2,11260,11,50,10,5,10,"(41.1527698, -73.745912)"
2018,Yates,1,25,12.5,0,,,,"(42.638237, -77.1043238)"
