ï»¿UniqueID,Database,County where tick found,State,Year,Date tick found,Host,"Host Genus, Family, or Order",Host_taxon_1,Host_taxon_2,Host_taxon_3,Genus,Species(2016),Tick_Taxon,Lifestage_not_specified,Adult_Female,Adult_Male,Adults,Nymph,Larva,Submission,Total#/submission,Comments
TD0016,TRL1900_1993,Chester,PA,1935,6/26/1935,not attached to host,Not attached,Not attached,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0018,TRL1900_1993,Clinton,PA,1936,12/1/1936,deer,Cervidae,Other mammal,NA,NA,Dermacentor,albipictus,Dermacentor sp.,1,0,0,0,0,0,1,1,
TD0019,TRL1900_1993,Allegheny,PA,1937,10/13/1937,fox,Canidae,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0020,TRL1900_1993,Potter,PA,1938,4/19/1938,Human,Homo sapiens,Human,NA,NA,Ixodes,scapularis,I. scapularis,0,1,0,1,0,0,1,1,
TD0021,TRL1900_1993,Adams,PA,1939,10/30/1939,rabbit,Lagomorpha,Other mammal,NA,NA,Ixodes,dentatus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0028,TRL1900_1993,Carbon,PA,1940,12/2/1940,deer,Cervidae,Other mammal,NA,NA,Dermacentor,albipictus,Dermacentor sp.,1,0,0,0,0,0,1,1,
TD0026,TRL1900_1993,McKean,PA,1940,6/19/1940,grouse,Aves,Bird,NA,NA,Haemaphysalis,chordeilis,Other,1,0,0,0,0,0,1,1,
TD0022,TRL1900_1993,Adams,PA,1940,4/24/1940,not attached to host,Not attached,Not attached,NA,NA,Ixodes,dentatus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0027,TRL1900_1993,Allegheny,PA,1940,10/2/1940,not attached to host,Not attached,Not attached,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0023,TRL1900_1993,Adams,PA,1940,4/25/1940,rabbit,Lagomorpha,Other mammal,NA,NA,Ixodes,dentatus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0024,TRL1900_1993,Dauphin,PA,1940,5/22/1940,rabbit,Lagomorpha,Other mammal,NA,NA,Ixodes,dentatus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0025,TRL1900_1993,Dauphin,PA,1940,5/22/1940,rabbit,Lagomorpha,Other mammal,NA,NA,Ixodes,dentatus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0031,TRL1900_1993,Clinton,PA,1941,12/1/1941,deer,Cervidae,Other mammal,NA,NA,Dermacentor,albipictus,Dermacentor sp.,1,0,0,0,0,0,1,1,
TD0029,TRL1900_1993,Dauphin,PA,1941,8/21/1941,rabbit,Lagomorpha,Other mammal,NA,NA,Haemaphysalis,leporis-palustris,Other,1,0,0,0,0,0,1,1,
TD0030,TRL1900_1993,Dauphin,PA,1941,8/21/1941,rabbit,Lagomorpha,Other mammal,NA,NA,Ixodes,dentatus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0032,TRL1900_1993,Crawford,PA,1942,2/4/1942,fox,Canidae,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0037,TRL1900_1993,Philadelphia,PA,1944,10/29/1944,Dog,Canis,Dog,NA,NA,Rhipicephalus,sanguineus,Rhipicephalus sp.,1,0,0,0,0,0,1,1,
TD0033,TRL1900_1993,Centre,PA,1944,6/12/1944,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0034,TRL1900_1993,Centre,PA,1944,6/23/1944,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0036,TRL1900_1993,Centre,PA,1944,9/18/1944,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0035,TRL1900_1993,Montgomery,PA,1944,8/19/1944,not attached to host,Not attached,Not attached,NA,NA,Rhipicephalus,sanguineus,Rhipicephalus sp.,1,0,0,0,0,0,1,1,
TD0038,TRL1900_1993,Delaware,PA,1945,6/1/1945,not attached to host,Not attached,Not attached,NA,NA,Ixodes,scapularis,I. scapularis,1,0,0,0,0,0,1,1,
TD0039,TRL1900_1993,Philadelphia,PA,1945,6/1/1945,not attached to host,Not attached,Not attached,NA,NA,Ixodes,scapularis,I. scapularis,1,0,0,0,0,0,1,1,
TD0040,TRL1900_1993,Allegheny,PA,1945,6/28/1945,not attached to host,Not attached,Not attached,NA,NA,Amblyomma,americanum,Amblyomma sp.,1,0,0,0,0,0,1,1,
TD0041,TRL1900_1993,Butler,PA,1946,8/7/1946,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0043,TRL1900_1993,Allegheny,PA,1946,8/20/1946,not attached to host,Not attached,Not attached,NA,NA,Rhipicephalus,sanguineus,Rhipicephalus sp.,1,0,0,0,0,0,1,1,
TD0046,TRL1900_1993,Butler,PA,1946,9/8/1946,opossum,Marsupialia,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0047,TRL1900_1993,Beaver,PA,1946,10/11/1946,rabbit,Lagomorpha,Other mammal,NA,NA,Ixodes,dentatus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0048,TRL1900_1993,Beaver,PA,1946,10/26/1946,rabbit,Lagomorpha,Other mammal,NA,NA,Ixodes,dentatus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0049,TRL1900_1993,Beaver,PA,1946,11/3/1946,rabbit,Lagomorpha,Other mammal,NA,NA,Ixodes,dentatus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0050,TRL1900_1993,Beaver,PA,1946,11/3/1946,rabbit,Lagomorpha,Other mammal,NA,NA,Ixodes,dentatus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0042,TRL1900_1993,Butler,PA,1946,8/18/1946,weasel,Mustelidae,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0044,TRL1900_1993,Butler,PA,1946,8/30/1946,weasel,Mustelidae,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0045,TRL1900_1993,Butler,PA,1946,8/30/1946,weasel,Mustelidae,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0063,TRL1900_1993,Mercer,PA,1947,7/25/1947,bat,Chiroptera,Other mammal,NA,NA,Ornithodoros,kelleyi,Other,1,0,0,0,0,0,1,1,
TD0067,TRL1900_1993,Fayette,PA,1947,11/23/1947,bat,Chiroptera,Other mammal,NA,NA,Ornithodoros,kelleyi,Other,1,0,0,0,0,0,1,1,
TD0062,TRL1900_1993,Mercer,PA,1947,7/19/1947,Dog,Canis,Dog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0060,TRL1900_1993,Mercer,PA,1947,6/19/1947,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0061,TRL1900_1993,Mercer,PA,1947,6/19/1947,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0068,TRL1900_1993,Crawford,PA,1947,12/23/1947,mink,Mustelidae,Other mammal,NA,NA,Ornithodoros,cooleyi,Other,1,0,0,0,0,0,1,1,This may be Ixodes cookei or Argas cooleyi. Need to confirm
TD0055,TRL1900_1993,Venengo,PA,1947,4/13/1947,mouse,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0064,TRL1900_1993,Warren,PA,1947,8/21/1947,mouse,Rodentia,Rodentia,NA,NA,Ixodes,muris,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0059,TRL1900_1993,Beaver,PA,1947,5/20/1947,not attached to host,Not attached,Not attached,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0056,TRL1900_1993,Venengo,PA,1947,4/17/1947,shrew,Soricidae,Other mammal,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0057,TRL1900_1993,Venengo,PA,1947,4/17/1947,shrew,Soricidae,Other mammal,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0058,TRL1900_1993,Venengo,PA,1947,4/17/1947,shrew,Soricidae,Other mammal,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0051,TRL1900_1993,Dauphin,PA,1947,3/11/1947,squirrel,Rodentia,Rodentia,NA,NA,Ixodes,marxi,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0052,TRL1900_1993,Dauphin,PA,1947,3/11/1947,squirrel,Rodentia,Rodentia,NA,NA,Ixodes,marxi,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0053,TRL1900_1993,Venengo,PA,1947,3/15/1947,squirrel,Rodentia,Rodentia,NA,NA,Ixodes,marxi,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0054,TRL1900_1993,Venengo,PA,1947,3/15/1947,squirrel,Rodentia,Rodentia,NA,NA,Ixodes,marxi,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0065,TRL1900_1993,Erie,PA,1947,10/29/1947,squirrel,Rodentia,Rodentia,NA,NA,Ixodes,marxi,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0066,TRL1900_1993,Erie,PA,1947,10/29/1947,squirrel,Rodentia,Rodentia,NA,NA,Ixodes,marxi,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0078,TRL1900_1993,Jefferson,PA,1948,4/15/1948,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0082,TRL1900_1993,Jefferson,PA,1948,4/17/1948,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0083,TRL1900_1993,Jefferson,PA,1948,4/18/1948,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0084,TRL1900_1993,Jefferson,PA,1948,4/18/1948,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0085,TRL1900_1993,Jefferson,PA,1948,4/18/1948,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0086,TRL1900_1993,Jefferson,PA,1948,4/18/1948,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0087,TRL1900_1993,Jefferson,PA,1948,4/18/1948,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0088,TRL1900_1993,Jefferson,PA,1948,4/18/1948,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0096,TRL1900_1993,Jefferson,PA,1948,4/22/1948,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0106,TRL1900_1993,Jefferson,PA,1948,5/31/1948,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0107,TRL1900_1993,Jefferson,PA,1948,6/8/1948,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0073,TRL1900_1993,Jefferson,PA,1948,4/5/1948,Human,Homo sapiens,Human,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0089,TRL1900_1993,Jefferson,PA,1948,4/20/1948,Human,Homo sapiens,Human,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0108,TRL1900_1993,Warren,PA,1948,7/1/1948,lemming,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0069,TRL1900_1993,Crawford,PA,1948,1/6/1948,mink,Mustelidae,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0103,TRL1900_1993,Jefferson,PA,1948,5/13/1948,mink,Mustelidae,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0104,TRL1900_1993,Jefferson,PA,1948,5/24/1948,porcupine,Rodentia,Rodentia,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0105,TRL1900_1993,Jefferson,PA,1948,5/24/1948,porcupine,Rodentia,Rodentia,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0090,TRL1900_1993,Indiana,PA,1948,4/21/1948,rabbit,Lagomorpha,Other mammal,NA,NA,Haemaphysalis,leporis-palustris,Other,1,0,0,0,0,0,1,1,
TD0091,TRL1900_1993,Indiana,PA,1948,4/21/1948,rabbit,Lagomorpha,Other mammal,NA,NA,Haemaphysalis,leporis-palustris,Other,1,0,0,0,0,0,1,1,
TD0092,TRL1900_1993,Indiana,PA,1948,4/21/1948,rabbit,Lagomorpha,Other mammal,NA,NA,Haemaphysalis,leporis-palustris,Other,1,0,0,0,0,0,1,1,
TD0093,TRL1900_1993,Indiana,PA,1948,4/21/1948,rabbit,Lagomorpha,Other mammal,NA,NA,Ixodes,dentatus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0094,TRL1900_1993,Indiana,PA,1948,4/21/1948,rabbit,Lagomorpha,Other mammal,NA,NA,Ixodes,dentatus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0070,TRL1900_1993,Lycoming,PA,1948,3/16/1948,shrew,Soricidae,Other mammal,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0071,TRL1900_1993,Venengo,PA,1948,3/16/1948,shrew,Soricidae,Other mammal,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0099,TRL1900_1993,Jefferson,PA,1948,4/29/1948,shrew,Soricidae,Other mammal,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0102,TRL1900_1993,Jefferson,PA,1948,5/3/1948,shrew,Soricidae,Other mammal,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0109,TRL1900_1993,Warren,PA,1948,7/15/1948,squirrel,Rodentia,Rodentia,NA,NA,Ixodes,marxi,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0072,TRL1900_1993,Sullivan,PA,1948,3/23/1948,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0074,TRL1900_1993,Venengo,PA,1948,4/12/1948,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0075,TRL1900_1993,Venengo,PA,1948,4/12/1948,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0076,TRL1900_1993,Venengo,PA,1948,4/12/1948,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0077,TRL1900_1993,Venengo,PA,1948,4/12/1948,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0079,TRL1900_1993,Jefferson,PA,1948,4/17/1948,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0080,TRL1900_1993,Jefferson,PA,1948,4/17/1948,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0081,TRL1900_1993,Lycoming,PA,1948,4/17/1948,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0095,TRL1900_1993,Jefferson,PA,1948,4/21/1948,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0097,TRL1900_1993,Jefferson,PA,1948,4/26/1948,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0098,TRL1900_1993,Jefferson,PA,1948,4/26/1948,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0100,TRL1900_1993,Jefferson,PA,1948,4/30/1948,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0101,TRL1900_1993,Jefferson,PA,1948,4/30/1948,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0134,TRL1900_1993,Allegheny,PA,1949,6/19/1949,Dog,Canis,Dog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0137,TRL1900_1993,Fulton,PA,1949,10/6/1949,fox,Canidae,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0143,TRL1900_1993,Fulton,PA,1949,11/10/1949,fox,Canidae,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0136,TRL1900_1993,Lebanon,PA,1949,8/22/1949,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0110,TRL1900_1993,Lycoming,PA,1949,1/9/1949,mink,Mustelidae,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0112,TRL1900_1993,Lycoming,PA,1949,1/13/1949,mink,Mustelidae,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0113,TRL1900_1993,Lycoming,PA,1949,1/13/1949,mink,Mustelidae,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0114,TRL1900_1993,Lycoming,PA,1949,1/13/1949,mink,Mustelidae,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0120,TRL1900_1993,Union,PA,1949,4/24/1949,mouse,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0121,TRL1900_1993,Union,PA,1949,4/24/1949,mouse,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0122,TRL1900_1993,Union,PA,1949,4/24/1949,mouse,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0115,TRL1900_1993,Lycoming,PA,1949,3/23/1949,not attached to host,Not attached,Not attached,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0144,TRL1900_1993,Beaver,PA,1949,12/1/1949,not attached to host,Not attached,Not attached,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0145,TRL1900_1993,Lycoming,PA,1949,12/7/1949,opossum,Marsupialia,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0128,TRL1900_1993,Westmoreland,PA,1949,5/28/1949,rabbit,Lagomorpha,Other mammal,NA,NA,Ixodes,dentatus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0129,TRL1900_1993,Westmoreland,PA,1949,5/28/1949,rabbit,Lagomorpha,Other mammal,NA,NA,Ixodes,dentatus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0130,TRL1900_1993,Westmoreland,PA,1949,5/28/1949,rabbit,Lagomorpha,Other mammal,NA,NA,Ixodes,dentatus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0131,TRL1900_1993,Westmoreland,PA,1949,5/28/1949,rabbit,Lagomorpha,Other mammal,NA,NA,Ixodes,dentatus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0132,TRL1900_1993,Westmoreland,PA,1949,5/28/1949,rabbit,Lagomorpha,Other mammal,NA,NA,Ixodes,dentatus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0133,TRL1900_1993,Westmoreland,PA,1949,5/28/1949,rabbit,Lagomorpha,Other mammal,NA,NA,Ixodes,dentatus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0135,TRL1900_1993,Potter,PA,1949,8/7/1949,rabbit,Lagomorpha,Other mammal,NA,NA,Haemaphysalis,leporis-palustris,Other,1,0,0,0,0,0,1,1,
TD0142,TRL1900_1993,Bradford,PA,1949,11/1/1949,rabbit,Lagomorpha,Other mammal,NA,NA,Haemaphysalis,leporis-palustris,Other,1,0,0,0,0,0,1,1,
TD0111,TRL1900_1993,Lycoming,PA,1949,1/11/1949,squirrel,Rodentia,Rodentia,NA,NA,Ixodes,marxi,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0138,TRL1900_1993,Bradford,PA,1949,10/16/1949,squirrel,Rodentia,Rodentia,NA,NA,Ixodes,marxi,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0139,TRL1900_1993,Bradford,PA,1949,10/25/1949,squirrel,Rodentia,Rodentia,NA,NA,Ixodes,marxi,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0140,TRL1900_1993,Bradford,PA,1949,10/25/1949,squirrel,Rodentia,Rodentia,NA,NA,Ixodes,marxi,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0141,TRL1900_1993,Bradford,PA,1949,10/30/1949,squirrel,Rodentia,Rodentia,NA,NA,Ixodes,marxi,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0116,TRL1900_1993,Lycoming,PA,1949,3/30/1949,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0117,TRL1900_1993,Lycoming,PA,1949,4/11/1949,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0118,TRL1900_1993,Clearfield,PA,1949,4/12/1949,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0119,TRL1900_1993,Bedford,PA,1949,4/24/1949,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0123,TRL1900_1993,Indiana,PA,1949,4/26/1949,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0124,TRL1900_1993,Indiana,PA,1949,4/27/1949,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0125,TRL1900_1993,Indiana,PA,1949,4/27/1949,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0126,TRL1900_1993,Indiana,PA,1949,4/29/1949,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0127,TRL1900_1993,Indiana,PA,1949,4/29/1949,vole,Rodentia,Rodentia,NA,NA,Ixodes,angustus,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0163,TRL1900_1993,Berks,PA,1950,8/22/1950,bat,Chiroptera,Other mammal,NA,NA,Ornithodoros,kelleyi,Other,1,0,0,0,0,0,1,1,
TD0158,TRL1900_1993,Centre,PA,1950,7/7/1950,fox,Canidae,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0154,TRL1900_1993,Centre,PA,1950,6/19/1950,groundhog,Marmota monax,Groundhog,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0147,TRL1900_1993,Fayette,PA,1950,2/21/1950,mink,Mustelidae,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
