Log,Collected,WOTY,Received,Species,Stage,Bloodfed?,Host,Infected?,County,Count,Event Count
LDS-00-127,6/13/2000 0:00,24,6/19/2000 0:00,Ixodes scapularis,F,N,Human,N,Muscatine,1,1
LDS-00-135,6/19/2000 0:00,25,6/21/2000 0:00,Ixodes scapularis,N,N,Human,N,Story,1,1
LDS-00-136,6/20/2000 0:00,25,6/22/2000 0:00,Ixodes scapularis,F,N,,N,Louisa,1,1
LDS-00-141,6/7/2000 0:00,23,6/27/2000 0:00,Ixodes scapularis,F,N,Human,N,OOS - Maryland,0,0
LDS-00-161,7/17/2000 0:00,29,7/18/2000 0:00,Ixodes scapularis,N,Y,Dog,N,OOS - Minnesota,0,0
LDS-00-185,10/21/2000 0:00,42,10/24/2000 0:00,Ixodes scapularis,F,N,Human,Y,Linn,1,1
LDS-00-187,10/20/2000 0:00,42,10/28/2000 0:00,Ixodes scapularis,F,N,Horse,N,Webster,1,1
LDS-00-188,10/20/2000 0:00,42,10/28/2000 0:00,Ixodes scapularis,F,Y,Dog,N,Webster,1,1
LDS-00-189,10/20/2000 0:00,42,10/28/2000 0:00,Ixodes scapularis,F,Y,Dog,N,Webster,1,1
LDS-00-190,10/20/2000 0:00,42,10/28/2000 0:00,Ixodes scapularis,F,N,Dog,N,Webster,1,1
LDS-00-191,10/20/2000 0:00,42,10/28/2000 0:00,Ixodes scapularis,F,Y,Dog,N,Webster,1,1
LDS-00-192,10/20/2000 0:00,42,10/28/2000 0:00,Ixodes scapularis,F,N,Dog,N,Webster,1,1
LDS-00-193,10/20/2000 0:00,42,10/28/2000 0:00,Ixodes scapularis,F,Y,Dog,N,Webster,1,1
LDS-00-194,11/19/2000 0:00,46,11/1/2000 0:00,Ixodes scapularis,F,Y,Dog,N,Webster,1,1
LDS-00-195,10/20/2000 0:00,42,10/28/2000 0:00,Ixodes scapularis,F,Y,Dog,N,Webster,1,1
LDS-00-196,11/1/2000 0:00,44,11/1/2000 0:00,Ixodes scapularis,F,Y,Dog,N,Webster,1,1
LDS-00-197,11/1/2000 0:00,44,11/1/2000 0:00,Ixodes scapularis,F,Y,Dog,N,Webster,1,1
LDS-00-198,11/1/2000 0:00,44,11/1/2000 0:00,Ixodes scapularis,F,Y,Dog,N,Webster,1,1
LDS-00-199,11/1/2000 0:00,44,11/1/2000 0:00,Ixodes scapularis,F,Y,Dog,N,Webster,1,1
LDS-00-200,11/1/2000 0:00,44,11/1/2000 0:00,Ixodes scapularis,F,Y,Dog,N,Webster,1,1
LDS-00-201,11/1/2000 0:00,44,11/1/2000 0:00,Ixodes scapularis,F,Y,Horse,N,Webster,1,1
LDS-00-202a,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,M,N,,N,Polk,1,1
LDS-00-202b,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,F,N,,N,Polk,1,1
LDS-00-202c,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,F,N,,N,Polk,1,1
LDS-00-202d,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,F,N,,N,Polk,1,1
LDS-00-202e,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,F,N,,N,Polk,1,1
LDS-00-202f,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,F,N,,N,Polk,1,1
LDS-00-202g,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,F,N,,N,Polk,1,1
LDS-00-202h,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,F,N,,N,Polk,1,1
LDS-00-202i,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,F,N,,N,Polk,1,1
LDS-00-202j,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,F,N,,N,Polk,1,1
LDS-00-202k,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,F,N,,N,Polk,1,1
LDS-00-202l,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,M,N,,N,Polk,1,1
LDS-00-202m,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,M,N,,N,Polk,1,1
LDS-00-202n,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,M,N,,N,Polk,1,1
LDS-00-202o,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,M,N,,N,Polk,1,1
LDS-00-202p,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,M,N,,N,Polk,1,1
LDS-00-202q,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,M,N,,N,Polk,1,1
LDS-00-202r,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,M,N,,N,Polk,1,1
LDS-00-202s,11/2/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,M,N,,N,Polk,1,1
LDS-00-203,10/30/2000 0:00,44,11/2/2000 0:00,Ixodes scapularis,F,N,,N,Jackson,1,1
LDS-00-204,10/30/2000 0:00,44,11/11/2000 0:00,Ixodes scapularis,F,N,Human,N,Scott,1,1
LDS-00-205,11/3/2000 0:00,44,11/11/2000 0:00,Ixodes scapularis,F,N,Human,N,Hamilton,1,1
LDS-00-206,11/2/2000 0:00,44,11/14/2000 0:00,Ixodes scapularis,?,N,Human,N,Muscatine,1,1
LDS-00-207,12/10/2000 0:00,49,12/11/2000 0:00,Ixodes scapularis,F,N,Human,,OOS - Louisiana,0,0
LDS-01-002,4/10/2001 0:00,15,4/12/2001 0:00,Ixodes scapularis,F,Y,Human,N,Muscatine,1,1
LDS-01-003,3/25/2001 0:00,12,4/16/2001 0:00,Ixodes scapularis,F,Y,Dog,N,Webster,1,1
LDS-01-004,4/7/2001 0:00,14,4/14/2001 0:00,Ixodes scapularis,F,,Human,N,OOS - Illinois,0,0
LDS-01-005,4/15/2001 0:00,15,4/18/2001 0:00,Ixodes scapularis,F,,Human,N,Story,1,1
LDS-01-006,4/18/2001 0:00,16,4/19/2001 0:00,Ixodes scapularis,F,Y,Human,N,Johnson,1,1
LDS-01-008,4/20/2001 0:00,16,4/24/2001 0:00,Ixodes scapularis,F,,Human,N,Jackson,1,1
LDS-01-019,4/23/2001 0:00,17,4/27/2001 0:00,Ixodes scapularis,F,,,N,Boone,1,1
LDS-01-020,4/27/2001 0:00,17,4/30/2001 0:00,Ixodes scapularis,F,,Human,N,Allamakee,1,1
LDS-01-026,4/29/2001 0:00,17,4/30/2001 0:00,Ixodes scapularis,F,Y,Dog,,Webster,1,1
LDS-01-029a,4/26/2001 0:00,17,5/1/2001 0:00,Ixodes scapularis,M,,,N,Webster,1,1
LDS-01-029b,4/26/2001 0:00,17,5/1/2001 0:00,Ixodes scapularis,M,,,N,Webster,1,0
LDS-01-030,4/21/2001 0:00,16,5/3/2001 0:00,Ixodes scapularis,M,,,N,Winneshiek,1,1
LDS-01-044,5/3/2001 0:00,18,5/7/2001 0:00,Ixodes scapularis,F,,Human,Inhibitory,Muscatine,1,1
LDS-01-046,5/7/2001 0:00,19,5/8/2001 0:00,Ixodes scapularis,N,,Human,N,Jackson,1,1
LDS-01-054,5/4/2001 0:00,18,5/10/2001 0:00,Ixodes scapularis,F,,Human,N,Muscatine,1,1
LDS-01-056,5/9/2001 0:00,19,5/14/2001 0:00,Ixodes scapularis,F,,Human,N,Muscatine,1,1
LDS-01-057,5/6/2001 0:00,18,5/14/2001 0:00,Ixodes scapularis,F,,Human,N,OOS - Illinois,0,0
LDS-01-063,5/5/2001 0:00,18,5/15/2001 0:00,Ixodes scapularis,M,,Human,N,Delaware,1,1
LDS-01-065,5/8/2001 0:00,19,5/15/2001 0:00,Ixodes scapularis,F,,None,N,Fayette,1,1
LDS-01-069,5/10/2001 0:00,19,5/16/2001 0:00,Ixodes scapularis,F,,Human,N,OOS - Illinois,0,0
LDS-01-097,5/9/2001 0:00,19,5/22/2001 0:00,Ixodes scapularis,F,,,N,Webster,1,1
LDS-01-110,5/21/2001 0:00,21,5/25/2001 0:00,Ixodes scapularis,N,,Human,N,Des Moines,1,1
LDS-01-128a,5/30/2001 0:00,22,6/4/2001 0:00,Ixodes scapularis,M,,,N,Polk,1,1
LDS-01-128b,5/30/2001 0:00,22,6/4/2001 0:00,Ixodes scapularis,M,,,N,Polk,1,0
LDS-01-128c,5/30/2001 0:00,22,6/4/2001 0:00,Ixodes scapularis,M,,,N,Polk,1,0
LDS-01-186,6/7/2001 0:00,23,6/13/2001 0:00,Ixodes scapularis,F,,Human,N,Woodbury,1,1
LDS-01-189,6/12/2001 0:00,24,6/14/2001 0:00,Ixodes scapularis,F,Y,Dog,N,Cedar,1,1
LDS-01-200,6/11/2001 0:00,24,6/14/2001 0:00,Ixodes scapularis,N,Y,Human,N,Muscatine,1,1
LDS-01-243,6/26/2001 0:00,26,6/28/2001 0:00,Ixodes scapularis,N,,Human,N,Winneshiek,1,1
LDS-01-278,7/9/2001 0:00,28,7/12/2001 0:00,Ixodes scapularis,N,Y,Human,N,Muscatine,1,1
LDS-01-287,7/12/2001 0:00,28,7/17/2001 0:00,Ixodes scapularis,N,,Human,N,Winneshiek,1,1
LDS-01-303,7/21/2001 0:00,29,7/31/2001 0:00,Ixodes scapularis,N,,Human,N,Des Moines,1,1
LDS-01-310a,8/7/2001 0:00,32,8/14/2001 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,1
LDS-01-310b,8/7/2001 0:00,32,8/14/2001 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,0
LDS-01-310c,8/7/2001 0:00,32,8/14/2001 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,0
LDS-01-310d,8/7/2001 0:00,32,8/14/2001 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,0
LDS-01-310e,8/7/2001 0:00,32,8/14/2001 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,0
LDS-01-310f,8/7/2001 0:00,32,8/14/2001 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,0
LDS-01-310g,8/7/2001 0:00,32,8/14/2001 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,0
LDS-01-311,8/7/2001 0:00,32,8/14/2001 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,0
LDS-01-312,8/7/2001 0:00,32,8/14/2001 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,0
LDS-01-313a,8/7/2001 0:00,32,8/14/2001 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,0
LDS-01-313b,8/7/2001 0:00,32,8/14/2001 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,0
LDS-01-313c,8/7/2001 0:00,32,8/14/2001 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,0
LDS-01-313d,8/7/2001 0:00,32,8/14/2001 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,0
LDS-01-313e,8/7/2001 0:00,32,8/14/2001 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,0
LDS-01-313f,8/7/2001 0:00,32,8/14/2001 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,0
LDS-01-313g,8/7/2001 0:00,32,8/14/2001 0:00,Ixodes scapularis,L,,Human,N,Winneshiek,1,0
LDS-01-316a,8/25/2001 0:00,34,8/27/2001 0:00,Ixodes scapularis,L,,,N,Winneshiek,1,1
LDS-01-316b,8/25/2001 0:00,34,8/27/2001 0:00,Ixodes scapularis,L,,,N,Winneshiek,1,0
LDS-01-316c,8/25/2001 0:00,34,8/27/2001 0:00,Ixodes scapularis,L,,,N,Winneshiek,1,0
LDS-01-316d,8/25/2001 0:00,34,8/27/2001 0:00,Ixodes scapularis,L,,,N,Winneshiek,1,0
LDS-01-319,8/20/2001 0:00,34,8/22/2001 0:00,Ixodes scapularis,L,,Dog,N,Story,1,1
LDS-01-320,8/29/2001 0:00,34,8/30/2001 0:00,Ixodes scapularis,F,,Human,N,Linn,1,1
LDS-01-335,10/2/2001 0:00,40,10/4/2001 0:00,Ixodes scapularis,F,,Human,N,Iowa,1,1
LDS-01-336,10/8/2001 0:00,41,10/11/2001 0:00,Ixodes scapularis,F,,,N,Muscatine,1,1
LDS-01-337,10/9/2001 0:00,41,10/11/2001 0:00,Ixodes scapularis,F,,Human,Y,Allamakee,1,1
LDS-01-338,10/10/2001 0:00,41,10/15/2001 0:00,Ixodes scapularis,F,,Human,Y,Muscatine,1,1
LDS-01-339,10/12/2001 0:00,41,10/17/2001 0:00,Ixodes scapularis,F,,,N,Washington,1,1
LDS-01-340,10/15/2001 0:00,42,10/16/2001 0:00,Ixodes scapularis,M,,,N,Hamilton,1,1
LDS-01-341,10/6/2001 0:00,40,10/15/2001 0:00,Ixodes scapularis,F,Y,Human,N,Story,1,1
LDS-01-342,10/17/2001 0:00,42,10/19/2001 0:00,Ixodes scapularis,F,Y,Dog,N,Greene,1,1
LDS-01-343a,10/18/2001 0:00,42,10/22/2001 0:00,Ixodes scapularis,M,,Human,N,Webster,1,1
LDS-01-343b,10/18/2001 0:00,42,10/22/2001 0:00,Ixodes scapularis,F,,Human,N,Webster,1,0
LDS-01-344a,10/25/2001 0:00,43,10/29/2001 0:00,Ixodes scapularis,F,,Human,Y,Allamakee,1,1
LDS-01-344b,10/25/2001 0:00,43,10/29/2001 0:00,Ixodes scapularis,F,,Human,N,Allamakee,1,0
LDS-01-345,11/1/2001 0:00,44,11/5/2001 0:00,Ixodes scapularis,F,,Human,N,Winneshiek,1,1
LDS-01-346a,11/4/2001 0:00,44,11/7/2001 0:00,Ixodes scapularis,F,,Human,Y,Allamakee,1,1
LDS-01-346b,11/4/2001 0:00,44,11/7/2001 0:00,Ixodes scapularis,F,,Human,N,Allamakee,1,0
LDS-01-347,11/1/2001 0:00,44,11/7/2001 0:00,Ixodes scapularis,F,,Human,N,Muscatine,1,1
LDS-01-348,11/3/2001 0:00,44,11/7/2001 0:00,Ixodes scapularis,F,,Human,N,OOS - Wisconsin,0,0
LDS-01-349,11/7/2001 0:00,45,11/8/2001 0:00,Ixodes scapularis,F,Y,Human,,OOS,0,0
LDS-01-350,11/5/2001 0:00,45,11/8/2001 0:00,Ixodes scapularis,F,,Human,Y,OOS - Wisconsin,0,0
LDS-01-351,11/6/2001 0:00,45,11/9/2001 0:00,Ixodes scapularis,M,,Human,N,Henry,1,1
LDS-01-352,11/6/2001 0:00,45,11/9/2001 0:00,Ixodes scapularis,F,,Human,N,Muscatine,1,1
LDS-01-353,11/6/2001 0:00,45,11/9/2001 0:00,Ixodes scapularis,F,,Human,N,Muscatine,1,1
LDS-01-354,11/5/2001 0:00,45,11/9/2001 0:00,Ixodes scapularis,F,,Human,N,Linn,1,1
LDS-01-355,11/6/2001 0:00,45,11/9/2001 0:00,Ixodes scapularis,F,Y,Human,N,Dubuque,1,1
LDS-01-356,10/21/2001 0:00,42,11/5/2001 0:00,Ixodes scapularis,F,Y,Human,N,OOS - Maryland,0,0
LDS-01-357,11/4/2001 0:00,44,11/15/2001 0:00,Ixodes scapularis,F,,Human,Y,Iowa,1,1
LDS-01-358,11/13/2001 0:00,46,11/15/2001 0:00,Ixodes scapularis,F,,Human,N,Muscatine,1,1
LDS-01-359,11/16/2001 0:00,46,11/21/2001 0:00,Ixodes scapularis,F,,Human,Y,Muscatine,1,1
LDS-01-360,11/22/2001 0:00,47,11/26/2001 0:00,Ixodes scapularis,F,,Human,N,Allamakee,1,1
LDS-01-361,11/20/2001 0:00,47,11/27/2001 0:00,Ixodes scapularis,F,,Human,N,Iowa,1,1
LDS-01-362,11/21/2001 0:00,47,11/28/2001 0:00,Ixodes scapularis,F,Y,Human,N,Black Hawk,1,1
LDS-01-363,11/22/2001 0:00,47,11/29/2001 0:00,Ixodes scapularis,F,Y,Human,,OOS - Wisconsin,0,0
LDS-01-364,12/6/2001 0:00,49,12/6/2001 0:00,Ixodes scapularis,F,,Human,N,OOS - Illinois,0,0
LDS-01-366a,12/4/2001 0:00,49,12/6/2001 0:00,Ixodes scapularis,F,Y,Dog,N,Story,1,1
LDS-01-366b,12/4/2001 0:00,49,12/6/2001 0:00,Ixodes scapularis,F,Y,Dog,N,Story,1,0
LDS-01-367,12/1/2001 0:00,48,12/10/2001 0:00,Ixodes scapularis,F,Y,Human,Y,Muscatine,1,1
LDS-01-368a,12/7/2001 0:00,49,12/11/2001 0:00,Ixodes scapularis,F,,Human,N,Iowa,1,1
LDS-01-368b,12/7/2001 0:00,49,12/11/2001 0:00,Ixodes scapularis,F,,Human,N,Iowa,1,0
LDS-01-368c,12/7/2001 0:00,49,12/11/2001 0:00,Ixodes scapularis,F,,Human,Y,Iowa,1,0
LDS-01-369,12/9/2001 0:00,49,12/17/2001 0:00,Ixodes scapularis,F,Y,Human,N,OOS - Illinois,0,0
LDS-01-370,12/6/2001 0:00,49,12/12/2001 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-01-371,12/5/2001 0:00,49,12/13/2001 0:00,Ixodes scapularis,F,N,Human,N,Delaware,1,1
LDS-01-372,1/27/2002 0:00,4,11/29/2002 0:00,Ixodes scapularis,F,N,Human,,Allamakee,1,1
LDS-01-373,2/18/2002 0:00,8,2/22/2002 0:00,Ixodes scapularis,F,N,Human,,OOS - Texas,0,0
LDS-02-004,4/8/2002 0:00,15,4/12/2002 0:00,Ixodes scapularis,F,N,Human,N,Linn,1,1
LDS-02-007,4/16/2002 0:00,16,4/19/2002 0:00,Ixodes scapularis,F,N,Human,N,OOS - Illinois,0,0
LDS-02-025,4/18/2002 0:00,16,4/23/2002 0:00,Ixodes scapularis,F,N,Human,,OOS - Maryland,0,0
LDS-02-030,4/21/2002 0:00,16,4/25/2002 0:00,Ixodes scapularis,F,Y,Human,Y,Winneshiek,1,1
LDS-02-044,4/23/2002 0:00,17,4/29/2002 0:00,Ixodes scapularis,F,N,Human,N,Fayette,1,1
LDS-02-047,4/23/2002 0:00,17,4/29/2002 0:00,Ixodes scapularis,F,Y,Dog,N,Scott,1,1
LDS-02-051,4/27/2002 0:00,17,5/1/2002 0:00,Ixodes scapularis,F,N,Human,N,Dubuque,1,1
LDS-02-053,4/23/2002 0:00,17,5/1/2002 0:00,Ixodes scapularis,F,N,Human,N,Clayton,1,1
LDS-02-056,4/29/2002 0:00,18,5/6/2002 0:00,Ixodes scapularis,M,N,Human,N,OOS - California,0,0
LDS-02-057,4/28/2002 0:00,17,5/6/2002 0:00,Ixodes scapularis,F,Y,Dog,N,Cerro Gordo,1,1
LDS-02-058,4/28/2002 0:00,17,5/6/2002 0:00,Ixodes scapularis,F,Y,Dog,N,Cerro Gordo,1,0
LDS-02-060,5/4/2002 0:00,18,5/6/2002 0:00,Ixodes scapularis,F,Y,Human,N,Mills,1,1
LDS-02-063,5/2/2002 0:00,18,5/6/2002 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-02-064,5/2/2002 0:00,18,5/6/2002 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-02-065,5/2/2002 0:00,18,5/6/2002 0:00,Ixodes scapularis,F,N,Human,N,Polk,1,1
LDS-02-102,5/9/2002 0:00,19,5/9/2002 0:00,Ixodes scapularis,F,Y,,N,,1,1
LDS-02-106,5/6/2002 0:00,19,5/9/2002 0:00,Ixodes scapularis,F,Y,Human,N,Winneshiek,1,1
LDS-02-114,5/6/2002 0:00,19,5/10/2002 0:00,Ixodes scapularis,F,Y,Human,N,Allamakee,1,1
LDS-02-130,5/9/2002 0:00,19,5/15/2002 0:00,Ixodes scapularis,M,N,Human,N,Delaware,1,1
LDS-02-134,5/9/2002 0:00,19,5/15/2002 0:00,Ixodes scapularis,M,N,Human,N,Muscatine,1,1
LDS-02-138,5/13/2002 0:00,20,5/15/2002 0:00,Ixodes scapularis,N,N,Human,N,Winneshiek,1,1
LDS-02-139,5/13/2002 0:00,20,5/15/2002 0:00,Ixodes scapularis,F,Y,Cat,N,Winneshiek,1,1
LDS-02-140,5/13/2002 0:00,20,5/15/2002 0:00,Ixodes scapularis,N,N,Cat,N,Winneshiek,1,0
LDS-02-141,5/13/2002 0:00,20,5/15/2002 0:00,Ixodes scapularis,F,Y,Cat,N,Winneshiek,1,0
LDS-02-143,5/13/2002 0:00,20,5/15/2002 0:00,Ixodes scapularis,N,N,Cat,Y,Winneshiek,1,0
LDS-02-144,5/13/2002 0:00,20,5/15/2002 0:00,Ixodes scapularis,N,Y,Cat,N,Winneshiek,1,0
LDS-02-145,5/13/2002 0:00,20,5/15/2002 0:00,Ixodes scapularis,N,Y,Cat,N,Winneshiek,1,0
LDS-02-146,5/13/2002 0:00,20,5/15/2002 0:00,Ixodes scapularis,N,N,Cat,N,Winneshiek,1,0
LDS-02-147,5/13/2002 0:00,20,5/15/2002 0:00,Ixodes scapularis,F,Y,Cat,N,Winneshiek,1,0
LDS-02-148,5/13/2002 0:00,20,5/15/2002 0:00,Ixodes scapularis,N,N,Cat,N,Winneshiek,1,0
LDS-02-150,5/13/2002 0:00,20,5/15/2002 0:00,Ixodes scapularis,N,Y,Cat,N,Winneshiek,1,0
LDS-02-151,5/12/2002 0:00,19,5/15/2002 0:00,Ixodes scapularis,N,N,Cat,N,Winneshiek,1,1
LDS-02-152,5/12/2002 0:00,19,5/15/2002 0:00,Ixodes scapularis,N,N,Cat,N,Winneshiek,1,0
LDS-02-153,5/12/2002 0:00,19,5/15/2002 0:00,Ixodes scapularis,L,N,Cat,N,Winneshiek,1,1
LDS-02-155,5/11/2002 0:00,19,5/16/2002 0:00,Ixodes scapularis,F,N,Human,N,Des Moines,1,1
LDS-02-157,5/12/2002 0:00,19,5/16/2002 0:00,Ixodes scapularis,N,N,,N,Story,1,1
LDS-02-164,5/16/2002 0:00,20,5/20/2002 0:00,Ixodes scapularis,N,N,Human,N,Muscatine,1,1
LDS-02-168,5/17/2002 0:00,20,5/20/2002 0:00,Ixodes scapularis,F,N,Dog,N,Monona,1,1
LDS-02-173,5/20/2002 0:00,21,5/23/2002 0:00,Ixodes scapularis,N,N,Human,N,Allamakee,1,1
LDS-02-174,5/21/2002 0:00,21,5/23/2002 0:00,Ixodes scapularis,F,N,Human,N,Black Hawk,1,1
LDS-02-175,5/21/2002 0:00,21,5/23/2002 0:00,Ixodes scapularis,F,N,Human,N,Black Hawk,1,0
LDS-02-181,5/23/2002 0:00,21,5/28/2002 0:00,Ixodes scapularis,F,N,Human,N,Dubuque,1,1
LDS-02-190,5/29/2002 0:00,22,5/30/2002 0:00,Ixodes scapularis,F,Y,Human,N,OOS,0,0
LDS-02-194,5/30/2002 0:00,22,5/30/2002 0:00,Ixodes scapularis,F,N,Cat,N,Muscatine,1,1
LDS-02-195,5/26/2002 0:00,21,5/30/2002 0:00,Ixodes scapularis,L,N,,N,Winneshiek,1,1
LDS-02-196,5/27/2002 0:00,22,5/30/2002 0:00,Ixodes scapularis,N,N,,N,Winneshiek,1,1
LDS-02-197,5/27/2002 0:00,22,5/30/2002 0:00,Ixodes scapularis,N,N,,N,Winneshiek,1,0
LDS-02-228,5/25/2002 0:00,21,6/3/2002 0:00,Ixodes scapularis,N,N,Human,N,Muscatine,1,1
LDS-02-233,6/3/2002 0:00,23,6/4/2002 0:00,Ixodes scapularis,N,Y,,N,Pocahontas,1,1
LDS-02-254,6/4/2002 0:00,23,6/6/2002 0:00,Ixodes scapularis,N,Y,Human,N,Winneshiek,1,1
LDS-02-255,6/4/2002 0:00,23,6/6/2002 0:00,Ixodes scapularis,F,Y,,N,Mitchell,1,1
LDS-02-261,6/5/2002 0:00,23,6/7/2002 0:00,Ixodes scapularis,F,Y,Human,N,Decatur,1,1
LDS-02-268,6/6/2002 0:00,23,6/10/2002 0:00,Ixodes scapularis,F,Y,Cat,N,Winneshiek,1,1
LDS-02-269,6/6/2002 0:00,23,6/10/2002 0:00,Ixodes scapularis,N,Y,Cat,N,Winneshiek,1,1
LDS-02-270,6/6/2002 0:00,23,6/10/2002 0:00,Ixodes scapularis,F,Y,Cat,N,Winneshiek,1,0
LDS-02-271,6/6/2002 0:00,23,6/10/2002 0:00,Ixodes scapularis,N,Y,Cat,N,Winneshiek,1,0
LDS-02-272,6/6/2002 0:00,23,6/10/2002 0:00,Ixodes scapularis,F,Y,Cat,N,Winneshiek,1,0
LDS-02-273,6/6/2002 0:00,23,6/10/2002 0:00,Ixodes scapularis,N,Y,Cat,N,Winneshiek,1,0
LDS-02-274,6/6/2002 0:00,23,6/10/2002 0:00,Ixodes scapularis,N,N,Cat,Y,Winneshiek,1,0
LDS-02-275,6/6/2002 0:00,23,6/10/2002 0:00,Ixodes scapularis,N,N,Cat,N,Winneshiek,1,0
LDS-02-276,6/6/2002 0:00,23,6/10/2002 0:00,Ixodes scapularis,N,Y,Cat,N,Winneshiek,1,0
LDS-02-277,6/6/2002 0:00,23,6/10/2002 0:00,Ixodes scapularis,N,Y,Cat,N,Winneshiek,1,0
LDS-02-278,6/6/2002 0:00,23,6/10/2002 0:00,Ixodes scapularis,N,N,Cat,N,Winneshiek,1,0
LDS-02-279,6/6/2002 0:00,23,6/10/2002 0:00,Ixodes scapularis,N,Y,Cat,N,Winneshiek,1,0
LDS-02-280,6/6/2002 0:00,23,6/10/2002 0:00,Ixodes scapularis,N,N,Cat,N,Winneshiek,1,0
LDS-02-281,6/6/2002 0:00,23,6/10/2002 0:00,Ixodes scapularis,L,N,Cat,N,Winneshiek,1,1
